 0    0    0    0  -16    0   23    0   -9    0    1   |  0.000   0.000  -1.438  -0.391  -0.111
 0    0    0    0  -15    0   22    0   -9    0    1   |  0.000   0.000  -1.467  -0.409  -0.111
 0    0    0    0  -14    0   23    0   -9    0    1   |  0.000   0.000  -1.643  -0.391  -0.111
 0    0    3    0  -15    0   21    0   -9    0    1   |  0.000  -5.000  -1.400  -0.429  -0.111
 0    0    5    0  -19    0   22    0   -9    0    1   |  0.000  -3.800  -1.158  -0.409  -0.111
 0    0    3    0  -17    0   23    0   -9    0    1   |  0.000  -5.667  -1.353  -0.391  -0.111
 0    0    3    0  -19    0   24    0   -9    0    1   |  0.000  -6.333  -1.263  -0.375  -0.111
 0    0    4    0  -18    0   23    0   -9    0    1   |  0.000  -4.500  -1.278  -0.391  -0.111
 0    0    4    0  -17    0   22    0   -9    0    1   |  0.000  -4.250  -1.294  -0.409  -0.111
 0    0    5    0  -21    0   24    0   -9    0    1   |  0.000  -4.200  -1.143  -0.375  -0.111
 0    0    3    0  -21    0   24    0   -9    0    1   |  0.000  -7.000  -1.143  -0.375  -0.111
 0    0    4    0  -19    0   23    0   -9    0    1   |  0.000  -4.750  -1.211  -0.391  -0.111
 0    0    7    0  -23    0   24    0   -9    0    1   |  0.000  -3.286  -1.043  -0.375  -0.111
 0    0    6    0  -23    0   24    0   -9    0    1   |  0.000  -3.833  -1.043  -0.375  -0.111
 0    0    4    0  -20    0   24    0   -9    0    1   |  0.000  -5.000  -1.200  -0.375  -0.111
 0    0    4    0  -23    0   25    0   -9    0    1   |  0.000  -5.750  -1.087  -0.360  -0.111
 0    0    8    0  -25    0   25    0   -9    0    1   |  0.000  -3.125  -1.000  -0.360  -0.111
 0    0    4    0  -24    0   25    0   -9    0    1   |  0.000  -6.000  -1.042  -0.360  -0.111
-1    0    9    0  -24    0   24    0   -9    0    1   | -9.000  -2.667  -1.000  -0.375  -0.111
-1    0   12    0  -28    0   25    0   -9    0    1   |-12.000  -2.333  -0.893  -0.360  -0.111
 0    0    7    0  -25    0   25    0   -9    0    1   |  0.000  -3.571  -1.000  -0.360  -0.111
-1    0   13    0  -30    0   26    0   -9    0    1   |-13.000  -2.308  -0.867  -0.346  -0.111
 0    0    0    0  -13    0   22    0   -9    0    1   |  0.000   0.000  -1.692  -0.409  -0.111
 0    0    0    0  -16    0   22    0   -9    0    1   |  0.000   0.000  -1.375  -0.409  -0.111
 0    0    0    0  -17    0   24    0   -9    0    1   |  0.000   0.000  -1.412  -0.375  -0.111
 0    0    0    0  -18    0   24    0   -9    0    1   |  0.000   0.000  -1.333  -0.375  -0.111
 0    0    0    0  -19    0   24    0   -9    0    1   |  0.000   0.000  -1.263  -0.375  -0.111
 0    0    0    0  -21    0   25    0   -9    0    1   |  0.000   0.000  -1.190  -0.360  -0.111
 0    0    3    0  -16    0   22    0   -9    0    1   |  0.000  -5.333  -1.375  -0.409  -0.111
